week,total,week,pullRequests,week,issues,week,comments
11/09/15 09:07 AM,14,11/30/15 08:51 PM,1,11/09/15 09:07 AM,3,11/09/15 09:15 AM,10
12/09/15 09:07 AM,14,12/30/15 08:51 PM,1,12/09/15 09:07 AM,3,12/09/15 09:15 AM,10
01/09/16 09:07 AM,14,01/30/16 08:51 PM,1,01/09/16 09:07 AM,3,01/09/16 09:15 AM,10
02/09/16 09:07 AM,14,02/29/16 08:51 PM,1,02/09/16 09:07 AM,3,02/09/16 09:15 AM,10
03/09/16 09:07 AM,18,03/29/16 08:51 PM,2,03/09/16 09:07 AM,6,03/09/16 09:15 AM,11
04/09/16 09:07 AM,58,04/29/16 08:51 PM,54,04/09/16 09:07 AM,18,04/09/16 09:15 AM,37
05/09/16 09:07 AM,179,05/29/16 08:51 PM,95,05/09/16 09:07 AM,39,05/09/16 09:15 AM,53
06/09/16 09:07 AM,214,06/29/16 08:51 PM,115,06/09/16 09:07 AM,42,06/09/16 09:15 AM,62
07/09/16 09:07 AM,321,07/29/16 08:51 PM,175,07/09/16 09:07 AM,80,07/09/16 09:15 AM,106
08/09/16 09:07 AM,423,08/29/16 08:51 PM,221,08/09/16 09:07 AM,94,08/09/16 09:15 AM,143
09/09/16 09:07 AM,579,09/29/16 08:51 PM,301,09/09/16 09:07 AM,123,09/09/16 09:15 AM,206
10/09/16 09:07 AM,767,10/29/16 08:51 PM,332,10/09/16 09:07 AM,149,10/09/16 09:15 AM,309
11/09/16 09:07 AM,894,11/29/16 08:51 PM,381,11/09/16 09:07 AM,167,11/09/16 09:15 AM,382
12/09/16 09:07 AM,1019,12/29/16 08:51 PM,393,12/09/16 09:07 AM,187,12/09/16 09:15 AM,447
01/09/17 09:07 AM,1157,01/29/17 08:51 PM,416,01/09/17 09:07 AM,205,01/09/17 09:15 AM,551
02/09/17 09:07 AM,1185,02/28/17 08:51 PM,442,02/09/17 09:07 AM,207,02/09/17 09:15 AM,561
03/09/17 09:07 AM,1288,03/28/17 08:51 PM,443,03/09/17 09:07 AM,223,03/09/17 09:15 AM,623
04/09/17 09:07 AM,1302,04/28/17 08:51 PM,444,04/09/17 09:07 AM,232,04/09/17 09:15 AM,627
05/09/17 09:07 AM,1313,05/28/17 08:51 PM,445,05/09/17 09:07 AM,240,05/09/17 09:15 AM,629
06/09/17 09:07 AM,1317,06/28/17 08:51 PM,447,06/09/17 09:07 AM,242,06/09/17 09:15 AM,630
07/09/17 09:07 AM,1328,07/28/17 08:51 PM,450,07/09/17 09:07 AM,246,07/09/17 09:15 AM,634
08/09/17 09:07 AM,1363,08/28/17 08:51 PM,458,08/09/17 09:07 AM,251,08/09/17 09:15 AM,662
09/09/17 09:07 AM,1413,09/28/17 08:51 PM,463,09/09/17 09:07 AM,260,09/09/17 09:15 AM,695
10/09/17 09:07 AM,1491,10/28/17 08:51 PM,479,10/09/17 09:07 AM,272,10/09/17 09:15 AM,752
11/09/17 09:07 AM,1625,11/28/17 08:51 PM,523,11/09/17 09:07 AM,292,11/09/17 09:15 AM,836
12/09/17 09:07 AM,1768,12/28/17 08:51 PM,537,12/09/17 09:07 AM,310,12/09/17 09:15 AM,923
01/09/18 09:07 AM,1831,01/28/18 08:51 PM,545,01/09/18 09:07 AM,325,01/09/18 09:15 AM,966
02/09/18 09:07 AM,1881,02/28/18 08:51 PM,557,02/09/18 09:07 AM,338,02/09/18 09:15 AM,996
03/09/18 09:07 AM,1996,03/28/18 08:51 PM,574,03/09/18 09:07 AM,359,03/09/18 09:15 AM,1069
04/09/18 09:07 AM,2041,04/28/18 08:51 PM,574,04/09/18 09:07 AM,368,04/09/18 09:15 AM,1099
05/09/18 09:07 AM,2127,05/28/18 08:51 PM,592,05/09/18 09:07 AM,383,05/09/18 09:15 AM,1159
06/09/18 09:07 AM,2199,06/28/18 08:51 PM,629,06/09/18 09:07 AM,404,06/09/18 09:15 AM,1199
07/09/18 09:07 AM,2395,07/28/18 08:51 PM,655,07/09/18 09:07 AM,434,07/09/18 09:15 AM,1328
08/09/18 09:07 AM,2565,08/28/18 08:51 PM,707,08/09/18 09:07 AM,471,08/09/18 09:15 AM,1405
09/09/18 09:07 AM,2687,09/28/18 08:51 PM,725,09/09/18 09:07 AM,498,09/09/18 09:15 AM,1473
10/09/18 09:07 AM,2790,10/28/18 08:51 PM,755,10/09/18 09:07 AM,522,10/09/18 09:15 AM,1532
11/09/18 09:07 AM,2916,11/28/18 08:51 PM,809,11/09/18 09:07 AM,545,11/09/18 09:15 AM,1610
12/09/18 09:07 AM,3198,12/28/18 08:51 PM,866,12/09/18 09:07 AM,580,12/09/18 09:15 AM,1795
01/09/19 09:07 AM,3405,01/28/19 08:51 PM,921,01/09/19 09:07 AM,623,01/09/19 09:15 AM,1897
02/09/19 09:07 AM,3572,02/28/19 08:51 PM,934,02/09/19 09:07 AM,651,02/09/19 09:15 AM,1991
03/09/19 09:07 AM,3601,,,03/09/19 09:07 AM,659,03/09/19 09:15 AM,2008
